Idade, temperatura da agua, comprimento
14,25,620
28,25,1315
41,25,2120
55,25,2600
69,25,3110
83,25,3535
97,25,3935
111,25,4465
125,25,4530
139,25,4570
153,25,4600
14,27,625
28,27,1215
41,27,2110
55,27,2805
69,27,3255
83,27,4015
97,27,4315
111,27,4495
125,27,4535
139,27,4600
153,27,4600
14,29,590
28,29,1305
41,29,2140
55,29,2890
69,29,3920
83,29,3920
97,29,4515
111,29,4520
125,29,4525
139,29,4565
153,29,4566
14,31,590
28,31,1205
41,31,1915
55,31,2140
69,31,2710
83,31,3020
97,31,3030
111,31,3040
125,31,3180
139,31,3257
153,31,3214
